time(s),trig_fname18,10,11,12,13,14,15,16,17,18,trig_fname29,0.5 5.8_fname20,1.5 5.8_fname21,off off_fname22,0.5 30_fname25,0.5 55_fname27,0.5 15_fname28,0.5 off_fname29,trig_fname34,1_lpm_fname30,1.5_lpm_fname31,0.5_lpm_fname32,2_lpm_fname33,0lpm_fname34
15.64,0.032,0.0055626667,0.018544,0.0003013333,0.0003013333,0.005712,0.0050026667,0.004144,0.0090693333,0.004232,0.032,-0.0176666667,-0.02368,0.0112333333,-0.0234066667,-0.0113533333,-0.0101866667,-0.00416,0.032,0.02176,0.018592,-0.000124,0.00006,0.0283533333
15.66,0.0312,0.0054426667,0.018864,0.0003253333,0.0003253333,0.005576,0.0050026667,0.004064,0.0090293333,0.004208,0.032,-0.0178066667,-0.02372,0.0111933333,-0.0235066667,-0.0113933333,-0.0102666667,-0.00432,0.032,0.021704,0.01856,-0.000132,0.00006,0.0284733333
15.68,0.0312,0.0054186667,0.01892,0.0004213333,0.0004213333,0.005488,0.0050186667,0.004208,0.0091093333,0.004168,0.032,-0.0179466667,-0.02374,0.0111533333,-0.0236266667,-0.0114133333,-0.0103466667,-0.00452,0.0312,0.02152,0.018508,-0.000148,0.000072,0.0285933333
15.7,0.0312,0.0053706667,0.019024,0.0003253333,0.0003253333,0.005512,0.0050186667,0.004192,0.0091493333,0.0042,0.032,-0.0180266667,-0.02382,0.0111133333,-0.0237466667,-0.0114933333,-0.0104266667,-0.0047,0.0312,0.021428,0.0185,-0.000148,0.000072,0.0287333333
15.72,0.032,0.0053386667,0.01928,0.0001013333,0.0001013333,0.00556,0.0048986667,0.004328,0.0090213333,0.00416,0.0312,-0.0182066667,-0.02386,0.0110733333,-0.0239266667,-0.0115333333,-0.0105266667,-0.00488,0.032,0.02142,0.018488,-0.000136,0.000076,0.0288533333
15.74,0.032,0.0054586667,0.019352,0.0002613333,0.0002613333,0.005472,0.0049466667,0.004232,0.0091653333,0.00404,0.032,-0.0184066667,-0.02386,0.0110333333,-0.0240666667,-0.0115533333,-0.0106266667,-0.005,0.032,0.021376,0.01848,-0.000144,0.00006,0.0289333333
15.76,0.032,0.0053786667,0.019424,0.0003333333,0.0003333333,0.005512,0.0048266667,0.004184,0.0092373333,0.004,0.032,-0.0184666667,-0.02386,0.0109733333,-0.0242466667,-0.0115733333,-0.0107266667,-0.00518,0.032,0.0214,0.018416,-0.000132,0.000072,0.0290133333
15.78,0.0312,0.0054106667,0.019544,0.0002133333,0.0002133333,0.005704,0.0048506667,0.0042,0.0091253333,0.00396,0.032,-0.0185866667,-0.02386,0.0108933333,-0.0243466667,-0.0116333333,-0.0107466667,-0.00532,0.0312,0.021328,0.018384,-0.000136,0.000072,0.0291133333
15.8,0.032,0.0052426667,0.019624,0.0003093333,0.0003093333,0.005776,0.0048186667,0.0042,0.0090373333,0.003848,0.032,-0.0187466667,-0.02392,0.0108533333,-0.0244466667,-0.0116533333,-0.0108666667,-0.00554,0.0312,0.0212,0.018344,-0.000136,0.000084,0.0292133333
15.82,0.032,0.0052266667,0.019712,0.0002693333,0.0002693333,0.005768,0.0048586667,0.004048,0.0089973333,0.003776,0.0312,-0.0188866667,-0.02398,0.0107933333,-0.0245866667,-0.0117133333,-0.0109666667,-0.00566,0.032,0.02116,0.018296,-0.000132,0.000084,0.0293133333
